CATALIZZATORE   TIPO              SITO ATTIVO   POSIZIONE   CLASSE    
ABAAB           Condensazione     ABAAB         1           R-B+ABBA-R
ABBABBAB        Condensazione     BBAB          2           R-AA+BA-R 
ABABAABA        Cleavage          AABA          1           R-B BAB-R 
BAAABBBA        Condensazione     ABBB          1           R-B+AAA-R 
BBAAAA          Cleavage          BBAAA         3           R-AAB BB-R
ABABBBAB        Condensazione     BABBB         1           R-A+BAAA-R
ABABAABB        Cleavage          BABA          2           R-AB AB-R 
BABBBABA        Condensazione     ABBBA         3           R-BAA+AB-R
BAABBBB         Cleavage          AABBB         4           R-BBAA A-R
ABAAABAB        Condensazione     AAABA         3           R-BBB+AB-R
AABAAA          Cleavage          AABAA         1           R-B BABB-R
ABAAABBA        Cleavage          ABAA          3           R-BAB B-R 
