CATALIZZATORE   TIPO              SITO ATTIVO   POSIZIONE   CLASSE    
BBAAAAAA        Cleavage          AAAA          2           R-BB BB-R 
ABABBBB         Cleavage          BABBB         1           R-A BAAA-R
AAAAAAAB        Cleavage          AAAAA         1           R-B BBBB-R
BAABABBB        Cleavage          BABBB         1           R-A BAAA-R
AABAB           Condensazione     AABAB         2           R-BB+ABA-R
ABBAAABA        Cleavage          AABA          3           R-BBA B-R 
AABABBBA        Cleavage          BBBA          1           R-A AAB-R 
AAABBABB        Condensazione     BABB          1           R-A+BAA-R 
BAAAAAA         Condensazione     AAAAA         2           R-BB+BBB-R
AAABABAB        Condensazione     AABAB         2           R-BB+ABA-R
BBAAAAAB        Condensazione     AAAA          3           R-BBB+B-R 
AABABBAB        Condensazione     ABAB          2           R-BA+BA-R 
