CATALIZZATORE   TIPO              SITO ATTIVO   POSIZIONE   CLASSE    
BAAAABBA        Condensazione     AAAA          3           R-BBB+B-R 
ABBBABAB        Condensazione     BBABA         3           R-AAB+AB-R
BABABBA         Condensazione     BABA          2           R-AB+AB-R 
ABAAAABB        Cleavage          BAAAA         2           R-AB BBB-R
BAABBAB         Cleavage          ABBAB         4           R-BAAB A-R
BBBBBAAB        Cleavage          BBAAB         1           R-A ABBA-R
ABBBAABA        Cleavage          BBBAA         3           R-AAA BB-R
ABAAB           Cleavage          ABAAB         4           R-BABB A-R
BBABABAA        Condensazione     BABA          2           R-AB+AB-R 
ABABBB          Condensazione     ABBB          3           R-BAA+A-R 
BABAAABB        Cleavage          ABAAA         4           R-BABB B-R
AAAABBAA        Condensazione     AAAAB         3           R-BBB+BA-R
