CATALIZZATORE   TIPO              SITO ATTIVO   POSIZIONE   CLASSE    
AABAABBA        Condensazione     ABAA          3           R-BAB+B-R 
AAAABBA         Cleavage          AAABB         1           R-B BBAA-R
BBBABB          Condensazione     BBBA          3           R-AAA+B-R 
BAAAABAB        Cleavage          BAAAA         2           R-AB BBB-R
BBABAAA         Condensazione     ABAA          1           R-B+ABB-R 
ABBBAABB        Condensazione     ABBB          3           R-BAA+A-R 
ABBAAABA        Cleavage          ABBA          3           R-BAA B-R 
ABAABBAA        Cleavage          ABAA          3           R-BAB B-R 
ABBBABAB        Cleavage          ABBBA         4           R-BAAA B-R
BAABABAA        Cleavage          BABAA         1           R-A BABB-R
BBAABBAB        Condensazione     AABB          1           R-B+BAA-R 
AABABA          Condensazione     AABA          2           R-BB+AB-R 
