CATALIZZATORE   TIPO              SITO ATTIVO   POSIZIONE   CLASSE    
BABBA           Cleavage          ABBA          3           R-BAA B-R 
ABBBAB          Condensazione     BBBAB         4           R-AAAB+A-R
ABBAAAAB        Cleavage          BAAAA         3           R-ABB BB-R
AABABBBB        Cleavage          BABB          1           R-A BAA-R 
BAAAAAB         Cleavage          BAAAA         3           R-ABB BB-R
AABBAABA        Cleavage          AABA          2           R-BB AB-R 
AABBBBA         Condensazione     AABBB         1           R-B+BAAA-R
BABBBBBA        Condensazione     BABB          1           R-A+BAA-R 
ABBAABAA        Condensazione     ABBAA         1           R-B+AABB-R
ABABAAB         Condensazione     ABABA         3           R-BAB+AB-R
AAAAABBA        Cleavage          AAABB         3           R-BBB AA-R
BBBBBBBA        Condensazione     BBBBA         3           R-AAA+AB-R
