CATALIZZATORE   TIPO              SITO ATTIVO   POSIZIONE   CLASSE    
BBABAA          Condensazione     ABAA          3           R-BAB+B-R 
BAAAABBA        Cleavage          AABB          2           R-BB AA-R 
BABABBA         Cleavage          ABABB         4           R-BABA A-R
ABAABA          Cleavage          ABAAB         2           R-BA BBA-R
BAAAAAAB        Cleavage          AAAAB         3           R-BBB BA-R
AABBAABB        Cleavage          AABB          3           R-BBA A-R 
ABBBABB         Condensazione     BBBAB         3           R-AAA+BA-R
AAAAAA          Cleavage          AAAAA         1           R-B BBBB-R
BAAAAABA        Condensazione     AAAB          2           R-BB+BA-R 
AAAAA           Condensazione     AAAA          2           R-BB+BB-R 
BABABAAA        Condensazione     BABA          1           R-A+BAB-R 
ABAAABB         Condensazione     AAAB          1           R-B+BBA-R 
