CATALIZZATORE   TIPO              SITO ATTIVO   POSIZIONE   CLASSE    
AAABAA          Condensazione     AABA          2           R-BB+AB-R 
AABAAAAA        Cleavage          BAAA          2           R-AB BB-R 
AABBA           Cleavage          AABBA         3           R-BBA AB-R
BAAABBA         Condensazione     BAAAB         2           R-AB+BBA-R
BBBAAAAA        Cleavage          BBAA          3           R-AAB B-R 
ABBAAAAA        Cleavage          AAAA          1           R-B BBB-R 
BBBBBA          Condensazione     BBBBB         3           R-AAA+AA-R
BABBB           Cleavage          ABBB          1           R-B AAA-R 
BABBABAB        Condensazione     ABBA          1           R-B+AAB-R 
BBAB            Condensazione     BBAB          1           R-A+ABA-R 
AAABBABB        Cleavage          BBAB          2           R-AA BA-R 
ABBAAABA        Condensazione     BAAAB         3           R-ABB+BA-R
